TransactionID,CustomerID,ProductID,PurchaseDate,Quantity,UnitPrice,TotalAmount,StoreLocation,PaymentType,PurchaseDateRaw,ProductName,Category,Department,CustomerSegment,AgeGroup,LoyaltyTier,Region,BasketItemCount,BasketValue,BasketSizeSegment
T00248,C004,P035,2025-11-22,3,2.1,6.3,Riverside,Card,11/22/2025,Sugar,Pantry,Grocery,Young Singles,26-40,Bronze,North,7,79.8,Large
T00229,C057,P007,2025-10-13,1,1.5,1.5,Hilltop,Mobile,2025-10-13,Avocado,Produce,Fresh Food,Student,18-25,Bronze,Central,4,15.7,Large
T00009,C043,P017,2025-01-01,2,6.5,13.0,Eastpark,Card,2025-01-01,Chicken Breast,Meat,Fresh Food,Student,18-25,Bronze,East,6,57.7,Large
T00158,C040,P022,2025-07-21,2,1.1,2.2,Downtown,Cash,2025-07-21,Sparkling Water,Beverages,Grocery,Premium Shopper,41-60,Not Enrolled,Central,4,15.7,Large
T00025,C017,P023,2025-02-14,1,8.9,8.9,Downtown,Cash,02/14/2025,Coffee Beans,Beverages,Grocery,Senior,60+,Bronze,North,2,11.0,Small
T00133,C038,P025,2025-06-18,1,2.2,2.2,Riverside,Cash,2025-06-18,Energy Drink,Beverages,Grocery,Student,18-25,Bronze,North,3,20.1,Small
T00036,C020,P040,2025-02-15,2,5.2,10.4,Eastpark,Voucher,2025-02-15,Frozen Pizza,Frozen,Grocery,Budget Shopper,26-40,Not Enrolled,East,4,19.7,Large
T00060,C017,P032,2025-04-06,1,2.7,2.7,Downtown,Card,2025-04-06,Pasta Sauce,Pantry,Grocery,Senior,60+,Bronze,North,3,7.5,Small
T00047,C055,P003,2025-03-22,5,1.8,9.0,Eastpark,Card,2025-03-22,Tomatoes,Produce,Fresh Food,Student,18-25,Bronze,North,4,21.9,Large
T00108,C035,P047,2025-06-10,3,4.1,12.3,Downtown,Mobile,2025-06-10,Trash Bags,Household,Non-Food,Senior,60+,Not Enrolled,South,5,25.1,Large
T00150,C010,P020,2025-07-21,1,1.6,1.6,Westgate,Card,2025-07-21,Cola,Beverages,Grocery,Family,41-60,Silver,East,1,1.6,Single
T00303,C057,P028,2025-12-12,1,2.9,2.9,Downtown,Mobile,2025-12-12,Cookies,Snacks,Grocery,Student,18-25,Bronze,Central,2,7.5,Small
T00134,C016,P027,2025-06-16,1,1.3,1.3,Riverside,Card,06/16/2025,Chocolate Bar,Snacks,Grocery,Young Singles,26-40,Bronze,Central,5,18.1,Large
T00070,C006,P027,2025-04-22,2,1.3,2.6,Hilltop,Card,2025-04-22,Chocolate Bar,Snacks,Grocery,Premium Shopper,41-60,Bronze,Central,4,17.3,Large
T00300,C015,P020,2025-12-01,3,1.6,4.8,Downtown,Card,2025-12-01,Cola,Beverages,Grocery,Premium Shopper,41-60,Not Enrolled,West,4,39.3,Large
T00220,C053,P043,2025-10-17,2,3.0,6.0,Eastpark,Card,2025-10-17,Frozen Fries,Frozen,Grocery,Senior,60+,Not Enrolled,South,3,13.8,Small
T00048,C056,P021,2025-03-23,1,3.4,3.4,Downtown,Card,2025-03-23,Orange Juice,Beverages,Grocery,Premium Shopper,41-60,Silver,South,6,35.9,Large
T00032,C019,P035,2025-02-03,1,2.1,2.1,Riverside,Card,2025-02-03,Sugar,Pantry,Grocery,Young Singles,26-40,Silver,North,4,30.9,Large
T00294,C031,P006,2025-12-29,1,0.85,0.85,Eastpark,Card,12/29/2025,Carrots,Produce,Fresh Food,Student,18-25,Bronze,East,3,21.85,Small
T00197,C052,P025,2025-09-29,2,2.2,4.4,Eastpark,Card,29-09-2025,Energy Drink,Beverages,Grocery,Young Singles,26-40,Not Enrolled,East,3,16.2,Small
T00086,C059,P029,2025-05-10,1,2.0,2.0,Westgate,Mobile,2025-05-10,Popcorn,Snacks,Grocery,Budget Shopper,26-40,Gold,Central,4,20.9,Large
T00051,C037,P023,2025-03-01,2,8.9,17.8,Downtown,Voucher,03/01/2025,Coffee Beans,Beverages,Grocery,Young Singles,26-40,Not Enrolled,South,5,34.5,Large
T00044,C018,P010,2025-03-17,2,3.2,6.4,Downtown,Card,2025-03-17,Greek Yogurt,Dairy,Fresh Food,Young Singles,26-40,Bronze,East,4,21.8,Large
T00313,C021,P041,2025-12-29,1,4.6,4.6,Eastpark,Voucher,2025-12-29,Ice Cream,Frozen,Grocery,Family,41-60,Bronze,South,3,16.0,Small
T00017,C042,P023,2025-01-20,2,8.9,17.8,Hilltop,Cash,2025-01-20,Coffee Beans,Beverages,Grocery,Student,18-25,Silver,East,2,20.8,Small
T00215,C051,P007,2025-09-27,2,1.5,3.0,Hilltop,Card,09/27/2025,Avocado,Produce,Fresh Food,Young Singles,26-40,Bronze,West,5,29.5,Large
T00304,C016,P010,2025-12-26,1,3.2,3.2,Downtown,Voucher,2025-12-26,Greek Yogurt,Dairy,Fresh Food,Young Singles,26-40,Bronze,Central,4,26.9,Large
T00111,C058,P047,2025-06-26,3,4.1,12.3,Downtown,Cash,2025-06-26,Trash Bags,Household,Non-Food,Family,41-60,Not Enrolled,Central,4,28.6,Large
T00117,C007,P009,2025-06-02,2,4.5,9.0,Westgate,Card,2025-06-02,Cheddar Cheese,Dairy,Fresh Food,Family,41-60,Silver,Central,4,58.97,Large
T00274,C034,P035,2025-11-19,1,2.1,2.1,Downtown,Cash,2025-11-19,Sugar,Pantry,Grocery,Budget Shopper,26-40,Gold,West,2,9.3,Small
T00129,C026,P020,2025-06-18,3,1.6,4.8,Eastpark,Card,18-06-2025,Cola,Beverages,Grocery,Family,41-60,Silver,North,5,20.4,Large
T00273,C024,P031,2025-11-14,1,1.5,1.5,Downtown,Mobile,2025-11-14,Pasta,Pantry,Grocery,Student,18-25,Not Enrolled,West,6,31.6,Large
T00063,C042,P030,2025-04-28,1,2.3,2.3,Eastpark,Mobile,2025-04-28,Pretzels,Snacks,Grocery,Student,18-25,Silver,East,3,8.9,Small
T00109,C026,P003,2025-06-04,3,1.8,5.4,Hilltop,Mobile,2025-06-04,Tomatoes,Produce,Fresh Food,Family,41-60,Silver,North,6,42.0,Large
T00124,C031,P020,2025-06-05,2,1.6,3.2,Riverside,Cash,05-06-2025,Cola,Beverages,Grocery,Student,18-25,Bronze,East,3,16.8,Small
T00210,C038,P044,2025-09-25,1,5.5,5.5,Riverside,Cash,09/25/2025,Paper Towels,Household,Non-Food,Student,18-25,Bronze,North,5,25.4,Large
T00037,C019,P044,2025-03-16,3,5.5,16.5,Downtown,Card,03/16/2025,Paper Towels,Household,Non-Food,Young Singles,26-40,Silver,North,4,26.2,Large
T00273,C024,P040,2025-11-14,1,5.2,5.2,Downtown,Mobile,2025-11-14,Frozen Pizza,Frozen,Grocery,Student,18-25,Not Enrolled,West,6,31.6,Large
T00301,C058,P046,2025-12-07,1,9.4,9.4,Hilltop,Mobile,12/07/2025,Laundry Detergent,Household,Non-Food,Family,41-60,Not Enrolled,Central,2,11.6,Small
T00111,C058,P038,2025-06-26,1,3.5,3.5,Downtown,Cash,2025-06-26,Peanut Butter,Pantry,Grocery,Family,41-60,Not Enrolled,Central,4,28.6,Large
T00277,C060,P020,2025-12-13,3,1.6,4.8,Westgate,Cash,2025-12-13,Cola,Beverages,Grocery,Student,18-25,Silver,East,5,33.2,Large
T00044,C018,P043,2025-03-17,2,3.0,6.0,Downtown,Card,2025-03-17,Frozen Fries,Frozen,Grocery,Young Singles,26-40,Bronze,East,4,21.8,Large
T00237,C042,P047,2025-10-09,2,4.1,8.2,Hilltop,Card,10/09/2025,Trash Bags,Household,Non-Food,Student,18-25,Silver,East,3,20.0,Small
T00105,C009,P008,2025-05-13,1,2.1,2.1,Hilltop,Cash,2025-05-13,Whole Milk,Dairy,Fresh Food,Senior,60+,Silver,North,2,9.3,Small
T00253,C040,P008,2025-11-25,1,2.1,2.1,Eastpark,Cash,2025-11-25,Whole Milk,Dairy,Fresh Food,Premium Shopper,41-60,Not Enrolled,Central,4,12.86,Large
T00017,C042,P031,2025-01-20,2,1.5,3.0,Hilltop,Cash,2025-01-20,Pasta,Pantry,Grocery,Student,18-25,Silver,East,2,20.8,Small
T00249,C025,P001,2025-11-30,3,0.59,1.77,Westgate,Card,11/30/2025,Bananas,Produce,Fresh Food,Budget Shopper,26-40,Not Enrolled,Central,4,32.77,Large
T00268,C056,P035,2025-11-27,1,2.1,2.1,Hilltop,Cash,2025-11-27,Sugar,Pantry,Grocery,Premium Shopper,41-60,Silver,South,4,27.4,Large
T00036,C020,P014,2025-02-15,1,2.4,2.4,Eastpark,Voucher,2025-02-15,Whole Wheat Bread,Bakery,Fresh Food,Budget Shopper,26-40,Not Enrolled,East,4,19.7,Large
T00121,C019,P026,2025-06-26,1,2.5,2.5,Eastpark,Mobile,2025-06-26,Potato Chips,Snacks,Grocery,Young Singles,26-40,Silver,North,4,14.7,Large
T00144,C025,P011,2025-07-13,1,3.8,3.8,Westgate,Cash,2025-07-13,Butter,Dairy,Fresh Food,Budget Shopper,26-40,Not Enrolled,Central,1,3.8,Single
T00204,C005,P046,2025-09-24,2,9.4,18.8,Riverside,Card,2025-09-24,Laundry Detergent,Household,Non-Food,Young Singles,26-40,Not Enrolled,South,4,37.3,Large
T00275,C035,P036,2025-11-28,2,7.8,15.6,Westgate,Cash,2025-11-28,Olive Oil,Pantry,Grocery,Senior,60+,Not Enrolled,South,6,38.0,Large
T00282,C019,P036,2025-12-08,3,7.8,23.4,Downtown,Card,12/08/2025,Olive Oil,Pantry,Grocery,Young Singles,26-40,Silver,North,4,38.0,Large
T00035,C053,P010,2025-02-04,2,3.2,6.4,Downtown,Card,2025-02-04,Greek Yogurt,Dairy,Fresh Food,Senior,60+,Not Enrolled,South,4,14.4,Large
T00003,C028,P026,2025-01-12,3,2.5,7.5,Westgate,Cash,01/12/2025,Potato Chips,Snacks,Grocery,Budget Shopper,26-40,Not Enrolled,South,4,14.2,Large
T00277,C060,P040,2025-12-13,3,5.2,15.6,Westgate,Cash,2025-12-13,Frozen Pizza,Frozen,Grocery,Student,18-25,Silver,East,5,33.2,Large
T00031,C023,P034,2025-02-07,1,3.9,3.9,Hilltop,Card,02/07/2025,Cereal,Pantry,Grocery,Premium Shopper,41-60,Bronze,Central,4,35.67,Large
T00007,C005,P039,2025-01-06,2,2.8,5.6,Eastpark,Card,01/06/2025,Jam,Pantry,Grocery,Young Singles,26-40,Not Enrolled,South,4,38.8,Large
T00236,C031,P047,2025-10-19,4,4.1,16.4,Eastpark,Mobile,2025-10-19,Trash Bags,Household,Non-Food,Student,18-25,Bronze,East,3,52.8,Small
T00012,C036,P035,2025-01-25,1,2.1,2.1,Westgate,Voucher,01/25/2025,Sugar,Pantry,Grocery,Premium Shopper,41-60,Bronze,North,6,49.0,Large
T00058,C018,P042,2025-03-13,3,2.4,7.2,Riverside,Voucher,13-03-2025,Frozen Vegetables,Frozen,Grocery,Young Singles,26-40,Bronze,East,5,22.65,Large
T00030,C050,P018,2025-02-18,4,7.2,28.8,Westgate,Cash,02/18/2025,Ground Beef,Meat,Fresh Food,Premium Shopper,41-60,Gold,Central,4,41.25,Large
T00246,C039,P014,2025-11-14,2,2.4,4.8,Eastpark,Card,11/14/2025,Whole Wheat Bread,Bakery,Fresh Food,Budget Shopper,26-40,Bronze,West,5,44.0,Large
T00230,C041,P040,2025-10-22,1,5.2,5.2,Downtown,Card,2025-10-22,Frozen Pizza,Frozen,Grocery,Young Singles,26-40,Silver,North,4,28.0,Large
T00152,C025,P008,2025-07-14,2,2.1,4.2,Downtown,Mobile,2025-07-14,Whole Milk,Dairy,Fresh Food,Budget Shopper,26-40,Not Enrolled,Central,6,21.6,Large
T00234,C021,P001,2025-10-22,1,0.59,0.59,Westgate,Mobile,2025-10-22,Bananas,Produce,Fresh Food,Family,41-60,Bronze,South,4,23.39,Large
T00132,C037,P010,2025-06-11,1,3.2,3.2,Eastpark,Mobile,06/11/2025,Greek Yogurt,Dairy,Fresh Food,Young Singles,26-40,Not Enrolled,South,2,14.2,Small
T00135,C018,P014,2025-06-02,5,2.4,12.0,Westgate,Mobile,2025-06-02,Whole Wheat Bread,Bakery,Fresh Food,Young Singles,26-40,Bronze,East,5,50.1,Large
T00147,C003,P046,2025-07-22,1,9.4,9.4,Riverside,Voucher,2025-07-22,Laundry Detergent,Household,Non-Food,Student,18-25,Silver,Central,6,53.4,Large
T00003,C028,P007,2025-01-12,1,1.5,1.5,Westgate,Cash,01/12/2025,Avocado,Produce,Fresh Food,Budget Shopper,26-40,Not Enrolled,South,4,14.2,Large
T00147,C003,P039,2025-07-22,5,2.8,14.0,Riverside,Voucher,2025-07-22,Jam,Pantry,Grocery,Student,18-25,Silver,Central,6,53.4,Large
T00248,C004,P017,2025-11-22,2,6.5,13.0,Riverside,Card,11/22/2025,Chicken Breast,Meat,Fresh Food,Young Singles,26-40,Bronze,North,7,79.8,Large
T00106,C040,P037,2025-05-28,1,1.1,1.1,Westgate,Card,05/28/2025,Canned Beans,Pantry,Grocery,Premium Shopper,41-60,Not Enrolled,Central,2,7.9,Small
T00234,C021,P003,2025-10-22,1,1.8,1.8,Westgate,Mobile,2025-10-22,Tomatoes,Produce,Fresh Food,Family,41-60,Bronze,South,4,23.39,Large
T00207,C014,P016,2025-09-11,3,3.1,9.3,Riverside,Card,2025-09-11,Croissant,Bakery,Fresh Food,Senior,60+,Silver,West,6,25.4,Large
T00204,C005,P043,2025-09-24,1,3.0,3.0,Riverside,Card,2025-09-24,Frozen Fries,Frozen,Grocery,Young Singles,26-40,Not Enrolled,South,4,37.3,Large
T00037,C019,P015,2025-03-16,2,2.8,5.6,Downtown,Card,03/16/2025,Bagels,Bakery,Fresh Food,Young Singles,26-40,Silver,North,4,26.2,Large
T00084,C031,P008,2025-05-21,1,2.1,2.1,Hilltop,Cash,2025-05-21,Whole Milk,Dairy,Fresh Food,Student,18-25,Bronze,East,5,28.35,Large
T00263,C009,P032,2025-11-12,1,2.7,2.7,Hilltop,Mobile,2025-11-12,Pasta Sauce,Pantry,Grocery,Senior,60+,Silver,North,3,27.7,Small
T00205,C025,P032,2025-09-02,1,2.7,2.7,Westgate,Mobile,02-09-2025,Pasta Sauce,Pantry,Grocery,Budget Shopper,26-40,Not Enrolled,Central,5,42.5,Large
T00121,C019,P033,2025-06-26,1,4.2,4.2,Eastpark,Mobile,2025-06-26,Rice,Pantry,Grocery,Young Singles,26-40,Silver,North,4,14.7,Large
T00023,C025,P048,2025-02-19,1,4.8,4.8,Westgate,Card,2025-02-19,Shampoo,Personal Care,Non-Food,Budget Shopper,26-40,Not Enrolled,Central,4,17.7,Large
T00222,C053,P041,2025-10-19,3,4.6,13.8,Riverside,Card,10/19/2025,Ice Cream,Frozen,Grocery,Senior,60+,Not Enrolled,South,5,39.5,Large
T00155,C021,P037,2025-07-08,2,1.1,2.2,Westgate,Card,07/08/2025,Canned Beans,Pantry,Grocery,Family,41-60,Bronze,South,4,22.3,Large
T00023,C025,P039,2025-02-19,2,2.8,5.6,Westgate,Card,2025-02-19,Jam,Pantry,Grocery,Budget Shopper,26-40,Not Enrolled,Central,4,17.7,Large
T00013,C053,P015,2025-01-07,2,2.8,5.6,Westgate,Card,01/07/2025,Bagels,Bakery,Fresh Food,Senior,60+,Not Enrolled,South,5,49.8,Large
T00005,C001,P045,2025-01-13,1,2.9,2.9,Westgate,Card,01/13/2025,Dish Soap,Household,Non-Food,Student,18-25,Not Enrolled,East,3,25.6,Small
T00172,C030,P025,2025-08-24,3,2.2,6.6,Hilltop,Mobile,08/24/2025,Energy Drink,Beverages,Grocery,Family,41-60,Bronze,West,3,18.7,Small
T00031,C023,P036,2025-02-07,2,7.8,15.6,Hilltop,Card,02/07/2025,Olive Oil,Pantry,Grocery,Premium Shopper,41-60,Bronze,Central,4,35.67,Large
T00007,C005,P023,2025-01-06,2,8.9,17.8,Eastpark,Card,01/06/2025,Coffee Beans,Beverages,Grocery,Young Singles,26-40,Not Enrolled,South,4,38.8,Large
T00158,C040,P020,2025-07-21,1,1.6,1.6,Downtown,Cash,2025-07-21,Cola,Beverages,Grocery,Premium Shopper,41-60,Not Enrolled,Central,4,15.7,Large
T00079,C007,P043,2025-04-11,4,3.0,12.0,Eastpark,Mobile,2025-04-11,Frozen Fries,Frozen,Grocery,Family,41-60,Silver,Central,4,22.3,Large
T00131,C039,P014,2025-06-15,3,2.4,7.2,Downtown,Card,2025-06-15,Whole Wheat Bread,Bakery,Fresh Food,Budget Shopper,26-40,Bronze,West,3,19.5,Small
T00005,C001,P028,2025-01-13,5,2.9,14.5,Westgate,Card,01/13/2025,Cookies,Snacks,Grocery,Student,18-25,Not Enrolled,East,3,25.6,Small
T00204,C005,P006,2025-09-24,2,0.85,1.7,Riverside,Card,2025-09-24,Carrots,Produce,Fresh Food,Young Singles,26-40,Not Enrolled,South,4,37.3,Large
T00207,C014,P020,2025-09-11,2,1.6,3.2,Riverside,Card,2025-09-11,Cola,Beverages,Grocery,Senior,60+,Silver,West,6,25.4,Large
T00205,C025,P035,2025-09-02,2,2.1,4.2,Westgate,Mobile,02-09-2025,Sugar,Pantry,Grocery,Budget Shopper,26-40,Not Enrolled,Central,5,42.5,Large
T00101,C060,P036,2025-05-11,1,7.8,7.8,Riverside,Card,11-05-2025,Olive Oil,Pantry,Grocery,Student,18-25,Silver,East,5,38.45,Large
T00221,C056,P011,2025-10-11,1,3.8,3.8,Hilltop,Card,10/11/2025,Butter,Dairy,Fresh Food,Premium Shopper,41-60,Silver,South,5,21.9,Large
T00273,C024,P023,2025-11-14,1,8.9,8.9,Downtown,Mobile,2025-11-14,Coffee Beans,Beverages,Grocery,Student,18-25,Not Enrolled,West,6,31.6,Large
T00191,C008,P030,2025-08-14,1,2.3,2.3,Eastpark,Card,08/14/2025,Pretzels,Snacks,Grocery,Budget Shopper,26-40,Not Enrolled,Central,3,11.35,Small
T00181,C018,P022,2025-08-05,2,1.1,2.2,Downtown,Card,2025-08-05,Sparkling Water,Beverages,Grocery,Young Singles,26-40,Bronze,East,2,8.6,Small
T00148,C007,P026,2025-07-02,2,2.5,5.0,Westgate,Card,2025-07-02,Potato Chips,Snacks,Grocery,Family,41-60,Silver,Central,4,19.4,Large
T00078,C006,P011,2025-04-23,2,3.8,7.6,Eastpark,Mobile,2025-04-23,Butter,Dairy,Fresh Food,Premium Shopper,41-60,Bronze,Central,4,19.5,Large
T00245,C012,P021,2025-11-19,3,3.4,10.2,Riverside,Card,2025-11-19,Orange Juice,Beverages,Grocery,Young Singles,26-40,Not Enrolled,North,4,73.6,Large
T00175,C007,P022,2025-08-23,1,1.1,1.1,Downtown,Card,2025-08-23,Sparkling Water,Beverages,Grocery,Family,41-60,Silver,Central,4,17.47,Large
T00074,C050,P010,2025-04-29,2,3.2,6.4,Hilltop,Card,29-04-2025,Greek Yogurt,Dairy,Fresh Food,Premium Shopper,41-60,Gold,Central,5,31.5,Large
T00126,C029,P029,2025-06-17,3,2.0,6.0,Downtown,Mobile,06/17/2025,Popcorn,Snacks,Grocery,Premium Shopper,41-60,Silver,East,3,19.4,Small
T00090,C023,P044,2025-05-02,1,5.5,5.5,Eastpark,Card,2025-05-02,Paper Towels,Household,Non-Food,Premium Shopper,41-60,Bronze,Central,5,24.1,Large
T00002,C041,P018,2025-01-23,2,7.2,14.4,Downtown,Card,23-01-2025,Ground Beef,Meat,Fresh Food,Young Singles,26-40,Silver,North,5,32.6,Large
T00268,C056,P023,2025-11-27,1,8.9,8.9,Hilltop,Cash,2025-11-27,Coffee Beans,Beverages,Grocery,Premium Shopper,41-60,Silver,South,4,27.4,Large
T00117,C007,P001,2025-06-02,3,0.59,1.77,Westgate,Card,2025-06-02,Bananas,Produce,Fresh Food,Family,41-60,Silver,Central,4,58.97,Large
T00104,C004,P010,2025-05-23,3,3.2,9.6,Riverside,Card,2025-05-23,Greek Yogurt,Dairy,Fresh Food,Young Singles,26-40,Bronze,North,2,12.4,Small
T00087,C004,P008,2025-05-04,2,2.1,4.2,Riverside,Card,05/04/2025,Whole Milk,Dairy,Fresh Food,Young Singles,26-40,Bronze,North,3,12.4,Small
T00123,C008,P025,2025-06-22,2,2.2,4.4,Westgate,Card,2025-06-22,Energy Drink,Beverages,Grocery,Budget Shopper,26-40,Not Enrolled,Central,3,37.2,Small
T00134,C016,P036,2025-06-16,1,7.8,7.8,Riverside,Card,06/16/2025,Olive Oil,Pantry,Grocery,Young Singles,26-40,Bronze,Central,5,18.1,Large
T00172,C030,P028,2025-08-24,1,2.9,2.9,Hilltop,Mobile,08/24/2025,Cookies,Snacks,Grocery,Family,41-60,Bronze,West,3,18.7,Small
T00016,C040,P019,2025-01-06,1,5.4,5.4,Eastpark,Card,2025-01-06,Bacon,Meat,Fresh Food,Premium Shopper,41-60,Not Enrolled,Central,1,5.4,Single
T00122,C018,P042,2025-06-25,1,2.4,2.4,Hilltop,Card,06/25/2025,Frozen Vegetables,Frozen,Grocery,Young Singles,26-40,Bronze,East,1,2.4,Single
T00152,C025,P011,2025-07-14,1,3.8,3.8,Downtown,Mobile,2025-07-14,Butter,Dairy,Fresh Food,Budget Shopper,26-40,Not Enrolled,Central,6,21.6,Large
