TransactionID,CustomerID,ProductID,ProductName,ProductCategory,PurchaseDate,Quantity,UnitPrice,TotalAmount,CustomerSegment,StoreLocation,PaymentType
T00158,C040,P022,Sparkling Water,Beverages,2025-07-21,2,1.10,2.20,Premium Shopper,Downtown,Cash
T00025,C017,P023,Coffee Beans,beverages,02/14/2025,1,$8.90,$8.90,Senior,Downtown,Cash
T00133,C038,P025,Energy Drink,Beverages,2025-06-18,1,2.20,2.20,Student,Riverside,Cash
T00036,C020,P040,Frozen Pizza,Frozen,2025-02-15,2,5.20,10.40,Budget Shopper,Eastpark,Voucher
T00060,C017,P032,Pasta Sauce,Pantry,2025-04-06,1,2.70,2.70,Senior,Downtown,Card
T00047,C055,P003,Tomatoes,Produce,2025-03-22,5,1.80,9.00,Student,Eastpark,Card
T00108,C035,P047,Trash Bags,Household,2025-06-10,3,4.10,12.30,Senior,Downtown,Mobile
T00150,C010,P020,Cola,Beverages,2025-07-21,1,1.60,1.60,Family,Westgate,Card
T00303,C057,P028,Cookies,Snacks,2025-12-12,1,2.90,2.90,Student,Downtown,Mobile
T00134,C016,P027,Chocolate Bar,Snacks,06/16/2025,1,1.30,1.30,Young Singles,Riverside,Card
T00070,C006,P027,Chocolate Bar,Snacks,2025-04-22,2,1.30,2.60,Premium Shopper,Hilltop,Card
T00300,C015,P020,Cola,Beverages,2025-12-01,3,1.60,4.80,Premium Shopper,Downtown,Card
T00220,C053,P043,Frozen Fries,Frozen,2025-10-17,2,3.00,6.00,Senior,Eastpark,Card
T00048,C056,P021,Orange Juice,Beverages,2025-03-23,1,3.40,3.40,Premium Shopper,Downtown,Card
T00032,C019,P035,Sugar,Pantry,2025-02-03,1,2.10,2.10,Young Singles,Riverside,Card
T00294,C031,P006,Carrots,Produce,12/29/2025,1,0.85,0.85,Student,Eastpark,Card
T00197,C052,P025,Energy Drink,Beverages,29-09-2025,,2.20,4.40,Young Singles,Eastpark,Card
T00086,C059,P029,Popcorn,Snacks,2025-05-10,1,2.00,2.00,Budget Shopper,Westgate,Mobile
T00051,C037,P023,Coffee Beans,Beverages,03/01/2025,2,8.90,17.80,Young Singles,Downtown,Voucher
T00044,C018,P010,Greek Yogurt,Dairy,2025-03-17,,3.20,3.20,Young Singles,Downtown,Card
T00313,C021,P041,Ice Cream,Frozen,2025-12-29,1,4.60,4.60,Family,Eastpark,Voucher
T00017,C042,P023,Coffee Beans,Beverages,2025-01-20,2,8.90,17.80,Student,Hilltop,Cash
T00215,C051,P007,Avocado,Produce,09/27/2025,2,1.50,3.00,Young Singles,Hilltop,Card
T00304,C016,P010,Greek Yogurt,Dairy,2025-12-26,1,3.20,3.20,Young Singles,Downtown,Voucher
T00111,C058,P047,Trash Bags,Household,2025-06-26,3,4.10,12.30,Family,Downtown,Cash
T00117,C007,P009,Cheddar Cheese,Dairy,2025-06-02,2,4.50,9.00,Family,Westgate,Card
T00274,C034,P035,Sugar,Pantry,2025-11-19,1,2.10,2.10,Budget Shopper,Downtown,Cash
T00129,C026,P020,Cola,beverages,18-06-2025,3,1.60,4.80,Family,Eastpark,Card
T00273,C024,P031,Pasta,Pantry,2025-11-14,1,1.50,1.50,Student,Downtown,Mobile
T00063,C042,P030,Pretzels,Snacks,2025-04-28,1,2.30,2.30,Student,Eastpark,Mobile
T00109,C026,P003,Tomatoes,Produce,2025-06-04,3,1.80,5.40,Family,Hilltop,Mobile
T00124,C031,P020,Cola,Beverages,05-06-2025,2,1.60,3.20,Student,Riverside,Cash
T00210,C038,P044,Paper Towels,Household,09/25/2025,1,$5.50,$5.50,Student,Riverside,Cash
T00037,C019,P044,Paper Towels,Household,03/16/2025,3,5.50,16.50,Young Singles,Downtown,Card
T00273,C024,P040,Frozen Pizza,Frozen,2025-11-14,1,5.20,5.20,Student,Downtown,Mobile
T00301,C058,P046,Laundry Detergent,Household,12/07/2025,1,9.40,9.40,Family,Hilltop,Mobile
T00111,C058,P038,Peanut Butter,Pantry,2025-06-26,1,3.50,3.50,Family,Downtown,Cash
T00277,C060,P020,Cola,Beverages,2025-12-13,3,1.60,4.80,Student,Westgate,Cash
T00044,C018,P043,Frozen Fries,Frozen,2025-03-17,2,3.00,6.00,Young Singles,Downtown,Card
T00237,C042,P047,Trash Bags,Household,10/09/2025,2,4.10,8.20,Student,Hilltop,Card
T00105,C009,P008,Whole Milk,Dairy,2025-05-13,1,2.10,2.10,Senior,Hilltop,Cash
T00253,C040,P008,Whole Milk,Dairy,2025-11-25,1,2.10,2.10,Premium Shopper,Eastpark,Cash
T00017,C042,P031,Pasta,Pantry,2025-01-20,2,1.50,3.00,Student,Hilltop,Cash
T00249,C025,P001,Bananas,Produce,11/30/2025,3,0.59,1.77,Budget Shopper,Westgate,Card
T00268,C056,P035,Sugar,Pantry,2025-11-27,1,2.10,,Premium Shopper,Hilltop,Cash
T00036,C020,P014,Whole Wheat Bread,Bakery,2025-02-15,1,2.40,2.40,Budget Shopper,Eastpark,Voucher
T00121,C019,P026,Potato Chips,Snacks,2025-06-26,1,$2.50,$2.50,Young Singles,Eastpark,Mobile
T00144,C025,P011,Butter,Dairy,2025-07-13,1,3.80,3.80,Budget Shopper,Westgate,Cash
T00204,C005,P046,Laundry Detergent,Household,2025-09-24,2,9.40,18.80,Young Singles,Riverside,Card
T00275,C035,P036,Olive Oil,Pantry,2025-11-28,2,7.80,15.60,Senior,Westgate,Cash
T00282,C019,P036,Olive Oil,Pantry,12/08/2025,3,7.80,23.40,Young Singles,Downtown,Card
T00035,C053,P010,Greek Yogurt,Dairy,2025-02-04,2,$3.20,$6.40,Senior,Downtown,Card
T00003,C028,P026,Potato Chips,Snacks ,01/12/2025,3,2.50,7.50,Budget Shopper,Westgate,Cash
T00277,C060,P040,Frozen Pizza,Frozen,2025-12-13,3,5.20,15.60,Student,Westgate,Cash
T00031,C023,P034,Cereal,Pantry,02/07/2025,1,3.90,3.90,Premium Shopper,Hilltop,Card
T00007,C005,P039,Jam,Pantry,01/06/2025,2,2.80,5.60,Young Singles,Eastpark,Card
T00236,C031,P047,Trash Bags,Household ,2025-10-19,4,4.10,16.40,Student,Eastpark,Mobile
T00012,C036,P035,Sugar,Pantry,01/25/2025,1,2.10,2.10,Premium Shopper,Westgate,Voucher
T00058,C018,P042,Frozen Vegetables,Frozen,13-03-2025,3,2.40,7.20,Young Singles,Riverside,Voucher
T00030,C050,P018,Ground Beef,Meat,02/18/2025,4,7.20,,Premium Shopper,Westgate,Cash
T00246,C039,P014,Whole Wheat Bread,Bakery,11/14/2025,2,2.40,4.80,Budget Shopper,Eastpark,Card
T00230,C041,P040,Frozen Pizza,Frozen,2025-10-22,,5.20,5.20,Young Singles,Downtown,Card
T00152,C025,P008,Whole Milk,DAIRY,2025-07-14,2,2.10,4.20,,Downtown,Mobile
T00234,C021,P001,  Bananas ,Produce,2025-10-22,1,0.59,0.59,Family,Westgate,Mobile
T00132,C037,P010,Greek Yogurt,Dairy,06/11/2025,1,3.20,3.20,Young Singles,Eastpark,Mobile
T00135,C018,P014,Whole Wheat Bread,Bakery ,2025-06-02,5,2.40,12.00,Young Singles,Westgate,Mobile
T00147,C003,P046,Laundry Detergent,Household,2025-07-22,1,9.40,9.40,Student,Riverside,Voucher
T00003,C028,P007,Avocado,Produce,01/12/2025,1,1.50,1.50,Budget Shopper,Westgate,Cash
T00147,C003,P039,Jam,Pantry,2025-07-22,5,2.80,14.00,Student,Riverside,Voucher
T00248,C004,P017,Chicken Breast,Meat,11/22/2025,2,6.50,13.00,Young Singles,Riverside,Card
T00106,C040,P037,Canned Beans,Pantry,05/28/2025,1,1.10,1.10,Premium Shopper,Westgate,Card
T00234,C021,P003,Tomatoes,Produce,2025-10-22,1,1.80,1.80,Family,Westgate,Mobile
T00207,C014,P016,Croissant,Bakery,2025-09-11,3,3.10,9.30,Senior,Riverside,Card
T00204,C005,P043,Frozen Fries,Frozen,2025-09-24,1,$3.00,$3.00,Young Singles,Riverside,Card
T00037,C019,P015,Bagels,Bakery,03/16/2025,2,2.80,5.60,Young Singles,Downtown,Card
T00084,C031,P008,Whole Milk,Dairy,2025-05-21,1,$2.10,$2.10,Student,Hilltop,Cash
T00263,C009,P032,Pasta Sauce,Pantry,2025-11-12,1,2.70,2.70,Senior,Hilltop,Mobile
T00205,C025,P032,Pasta Sauce,Pantry,02-09-2025,1,2.70,2.70,Budget Shopper,Westgate,Mobile
T00121,C019,P033,Rice,Pantry,2025-06-26,1,4.20,4.20,Young Singles,Eastpark,Mobile
T00023,C025,P048,Shampoo,Personal Care,2025-02-19,1,4.80,4.80,Budget Shopper,Westgate,Card
T00222,C053,P041,Ice Cream,Frozen,10/19/2025,3,4.60,13.80,,Riverside,Card
T00155,C021,P037,Canned Beans,Pantry,07/08/2025,2,1.10,2.20,Family,Westgate,Card
T00023,C025,P039,Jam,Pantry,2025-02-19,,2.80,8.40,Budget Shopper,Westgate,Card
T00013,C053,P015,Bagels,Bakery,01/07/2025,2,2.80,5.60,Senior,Westgate,Card
T00005,C001,P045,Dish Soap,Household,01/13/2025,1,2.90,2.90,Student,Westgate,Card
T00172,C030,P025,Energy Drink,Beverages,08/24/2025,3,2.20,6.60,Family,Hilltop,Mobile
T00031,C023,P036,Olive Oil,Pantry,02/07/2025,2,7.80,15.60,Premium Shopper,Hilltop,Card
T00007,C005,P023,Coffee Beans,Beverages,01/06/2025,2,8.90,17.80,Young Singles,Eastpark,Card
T00158,C040,P020,Cola,Beverages,2025-07-21,1,1.60,1.60,Premium Shopper,Downtown,Cash
T00079,C007,P043,Frozen Fries,Frozen,2025-04-11,4,3.00,12.00,Family,Eastpark,Mobile
T00131,C039,P014,Whole Wheat Bread,Bakery,2025-06-15,3,2.40,7.20,Budget Shopper,Downtown,Card
T00005,C001,P028,Cookies,Snacks,01/13/2025,5,2.90,14.50,Student,Westgate,Card
T00204,C005,P006,Carrots,Produce,2025-09-24,2,0.85,1.70,Young Singles,Riverside,Card
T00207,C014,P020,Cola,BEVERAGES,2025-09-11,2,1.60,3.20,Senior,Riverside,Card
T00205,C025,P035,Sugar,Pantry,02-09-2025,2,2.10,4.20,Budget Shopper,Westgate,Mobile
T00101,C060,P036,Olive Oil,Pantry,11-05-2025,1,7.80,7.80,Student,Riverside,Card
T00221,C056,P011,Butter,Dairy,10/11/2025,1,3.80,3.80,Premium Shopper,Hilltop,Card
T00273,C024,P023,Coffee Beans,Beverages,2025-11-14,1,8.90,8.90,Student,Downtown,Mobile
T00191,C008,P030,Pretzels,Snacks,08/14/2025,1,2.30,2.30,Budget Shopper,Eastpark,Card
T00181,C018,P022,Sparkling Water,Beverages,2025-08-05,2,1.10,2.20,Young Singles,Downtown,Card
T00148,C007,P026,Potato Chips,Snacks,2025-07-02,2,2.50,5.00,Family,Westgate,Card
T00078,C006,P011,Butter,dairy,2025-04-23,2,3.80,7.60,Premium Shopper,Eastpark,Mobile
T00245,C012,P021,Orange Juice,Beverages,2025-11-19,3,3.40,10.20,Young Singles,Riverside,Card
T00175,C007,P022,Sparkling Water,Beverages,2025-08-23,1,1.10,1.10,Family,Downtown,Card
T00074,C050,P010,Greek Yogurt,Dairy,29-04-2025,2,3.20,6.40,Premium Shopper,Hilltop,Card
T00126,C029,P029,Popcorn,Snacks,06/17/2025,3,2.00,6.00,Premium Shopper,Downtown,Mobile
T00274,C034,P035,Sugar,Pantry,2025-11-19,1,2.10,2.10,Budget Shopper,Downtown,Cash
T00090,C023,P044,Paper Towels,Household,2025-05-02,1,5.50,5.50,Premium Shopper,Eastpark,Card
T00002,C041,P018,Ground Beef,Meat,23-01-2025,2,7.20,14.40,Young Singles,Downtown,Card
T00268,C056,P023,Coffee Beans,Beverages,2025-11-27,1,8.90,8.90,Premium Shopper,Hilltop,Cash
T00117,C007,P001,Bananas,Produce,2025-06-02,3,0.59,1.77,Family,Westgate,Card
T00104,C004,P010,Greek Yogurt,Dairy,2025-05-23,3,3.20,9.60,Young Singles,Riverside,Card
T00087,C004,P008,Whole Milk,Dairy,05/04/2025,2,2.10,4.20,Young Singles,Riverside,Card
T00123,C008,P025,Energy Drink,Beverages,2025-06-22,2,2.20,4.40,Budget Shopper,Westgate,Card
T00134,C016,P036,Olive Oil,PANTRY,06/16/2025,1,7.80,7.80,Young Singles,Riverside,Card
T00172,C030,P028,Cookies,Snacks,08/24/2025,1,2.90,2.90,Family,Hilltop,Mobile
T00016,C040,P019,Bacon,Meat,2025-01-06,1,5.40,5.40,Premium Shopper,Eastpark,Card
T00122,C018,P042,Frozen Vegetables,Frozen,06/25/2025,1,$2.40,$2.40,Young Singles,Hilltop,Card
T00152,C025,P011,Butter,Dairy,2025-07-14,1,$3.80,$3.80,Budget Shopper,Downtown,Mobile
T00314,C017,P003,Tomatoes,Produce,2025-12-24,1,$1.80,$1.80,Senior,Hilltop,Voucher
T00129,C026,P002,Apples,Produce,18-06-2025,2,1.20,2.40,Family,Eastpark,Card
T00306,C023,P036,Olive Oil,Pantry,2025-12-13,2,7.80,15.60,Premium Shopper,Riverside,Card
T00131,C039,P035,Sugar,Pantry,2025-06-15,2,2.10,4.20,Budget Shopper,Downtown,Card
T00236,C031,P044,  Paper Towels ,Household,2025-10-19,5,5.50,27.50,Student,Eastpark,Mobile
T00080,C020,P034,Cereal,Pantry,04/03/2025,1,3.90,3.90,Budget Shopper,Eastpark,Card
T00181,C018,P010,Greek Yogurt,Dairy,2025-08-05,2,3.20,6.40,Young Singles,Downtown,Card
T00292,C041,P040,Frozen Pizza,Frozen,2025-12-06,2,5.20,10.40,Young Singles,Hilltop,Card
T00043,C054,P013,White Bread,Bakery,2025-03-14,1,1.90,1.90,Premium Shopper,Westgate,Voucher
T00031,C023,P001,Bananas,Produce,02/07/2025,,0.59,1.18,Premium Shopper,Hilltop,Card
T00133,C038,P023,Coffee Beans,Beverages,2025-06-18,1,8.90,8.90,Student,Riverside,Cash
T00226,C006,P031,Pasta,Pantry,2025-10-25,4,1.50,6.00,Premium Shopper,Riverside,Cash
T00056,C045,P027,  Chocolate Bar ,Snacks,03/24/2025,1,1.30,1.30,Student,Eastpark,Card
T00215,C051,P044,Paper Towels,Household,09/27/2025,1,5.50,5.50,Young Singles,Hilltop,Card
T00003,C028,P004,Lettuce,Produce,01/12/2025,2,1.40,2.80,Budget Shopper,Westgate,Cash
T00071,C004,P042,Frozen Vegetables,Frozen,20-04-2025,2,2.40,4.80,Young Singles,Downtown,Card
T00113,C034,P021,  Orange Juice ,Beverages,05-06-2025,1,3.40,3.40,Budget Shopper,Riverside,Cash
T00270,C058,P039,Jam,Pantry,2025-11-02,1,$2.80,$2.80,Family,Eastpark,Card
T00048,C056,P035,Sugar,Pantry,2025-03-23,2,2.10,4.20,Premium Shopper,Downtown,Card
T00052,C038,P048,Shampoo,Personal Care,2025-03-02,2,4.80,9.60,Student,Hilltop,Mobile
T00079,C007,P039,Jam,Pantry,2025-04-11,1,2.80,,Family,Eastpark,Mobile
T00101,C060,P006,Carrots,Produce,11-05-2025,1,0.85,0.85,Student,Riverside,Card
T00289,C017,P011,Butter,Dairy,2025-12-10,1,$3.80,$3.80,Senior,Eastpark,Mobile
T00269,C052,P014,Whole Wheat Bread,Bakery,2025-11-14,1,2.40,2.40,Young Singles,Hilltop,Mobile
T00134,C016,P041,Ice Cream,Frozen,06/16/2025,1,4.60,4.60,Young Singles,Riverside,Card
T00063,C042,P015,Bagels,Bakery,2025-04-28,1,2.80,2.80,Student,Eastpark,Mobile
T00300,C015,P020,Cola,Beverages,2025-12-01,3,1.60,4.80,Premium Shopper,Downtown,Card
T00218,C039,P035,Sugar,pantry,10/16/2025,1,2.10,2.10,Budget Shopper,Westgate,Card
T00180,C044,P038,Peanut Butter,Pantry,18-08-2025,1,3.50,,Budget Shopper,Riverside,Mobile
T00265,C019,P033,Rice,Pantry,2025-11-28,3,4.20,12.60,Young Singles,Riverside,Cash
T00161,C036,P041,Ice Cream,Frozen,2025-07-11,2,4.60,9.20,Premium Shopper,Westgate,Voucher
T00028,C026,P020,Cola,Beverages,2025-02-13,1,1.60,1.60,Family,Riverside,Card
T00224,C008,P011,Butter,Dairy,2025-10-28,1,3.80,3.80,Budget Shopper,Westgate,Card
T00038,C010,P019,  Bacon ,Meat,03/27/2025,2,5.40,10.80,Family,Downtown,Card
T00094,C029,P037,Canned Beans,Pantry,2025-05-26,3,1.10,3.30,Premium Shopper,Downtown,Card
T00194,C042,P005,  Onions ,Produce,2025-09-21,4,0.90,3.60,Student,Downtown,Cash
T00305,C045,P023,  Coffee Beans ,Beverages,2025-12-05,1,8.90,8.90,Student,Eastpark,Mobile
T00022,C009,P027,Chocolate Bar,SNACKS,2025-02-03,2,1.30,2.60,Senior,Riverside,Card
T00011,C045,P028,Cookies,Snacks,01/29/2025,1,$2.90,$2.90,Student,Riverside,Cash
T00029,C042,P024,Tea Bags,Beverages,2025-02-17,1,3.60,3.60,Student,Hilltop,Card
T00247,C046,P046,Laundry Detergent,Household,2025-11-11,3,9.40,28.20,Premium Shopper,Downtown,Mobile
T00205,C025,P007,Avocado,Produce,02-09-2025,3,1.50,4.50,Budget Shopper,Westgate,Mobile
T00295,C009,P040,Frozen Pizza,Frozen,2025-12-05,2,5.20,10.40,Senior,Eastpark,Mobile
T00168,C056,P022,Sparkling Water,Beverages,2025-08-15,5,1.10,5.50,Premium Shopper,Downtown,Mobile
T00053,C033,P019,Bacon,Meat,2025-03-17,2,5.40,10.80,Premium Shopper,Hilltop,Mobile
T00074,C050,P016,Croissant,Bakery,29-04-2025,3,3.10,9.30,Premium Shopper,Hilltop,Card
T00046,C003,P007,Avocado,PRODUCE,2025-03-16,5,1.50,7.50,Student,Riverside,Cash
T00078,C006,P029,Popcorn,Snacks,2025-04-23,1,2.00,2.00,Premium Shopper,Eastpark,Mobile
T00199,C055,P038,Peanut Butter,Pantry,09/19/2025,2,3.50,7.00,Student,Westgate,Card
T00275,C035,P035,Sugar,Pantry,2025-11-28,1,2.10,2.10,Senior,Westgate,Cash
T00105,C009,P018,Ground Beef,Meat,2025-05-13,1,7.20,7.20,Senior,Hilltop,Cash
T00302,C013,P031,Pasta,Pantry ,2025-12-02,2,1.50,,Senior,Westgate,Mobile
T00077,C006,P048,Shampoo,Personal Care,2025-04-28,2,4.80,9.60,Premium Shopper,Eastpark,Cash
T00258,C038,P019,Bacon,Meat,2025-11-24,3,5.40,16.20,Student,Downtown,Mobile
T00251,C017,P021,Orange Juice,Beverages,11/28/2025,2,3.40,6.80,Senior,Downtown,Card
T00032,C019,P008,Whole Milk,Dairy,2025-02-03,1,2.10,2.10,Young Singles,Riverside,Card
T00271,C033,P002,Apples,Produce ,2025-11-22,2,1.20,2.40,Premium Shopper,Hilltop,Card
T00068,C018,P037,Canned Beans,Pantry,2025-04-06,3,1.10,3.30,Young Singles,Hilltop,Voucher
T00028,C026,P045,Dish Soap,Household,2025-02-13,3,2.90,8.70,Family,Riverside,Card
T00315,C021,P036,Olive Oil,Pantry,28-12-2025,,7.80,7.80,,Downtown,Mobile
T00120,C055,P011,Butter,Dairy,2025-06-05,1,3.80,3.80,Student,Eastpark,Cash
T00053,C033,P031,Pasta,Pantry,2025-03-17,3,1.50,4.50,Premium Shopper,Hilltop,Mobile
T00262,C043,P024,Tea Bags,Beverages,2025-11-20,2,3.60,7.20,Student,Hilltop,Mobile
T00179,C004,P034,Cereal,Pantry,2025-08-21,1,$3.90,$3.90,Young Singles,Riverside,Cash
T00128,C047,P006,Carrots,Produce,06/21/2025,1,0.85,0.85,Young Singles,Westgate,Card
T00091,C031,P004,Lettuce,Produce,2025-05-18,1,1.40,1.40,Student,Hilltop,Card
T00201,C022,P021,Orange Juice,Beverages,2025-09-01,3,3.40,10.20,Student,Eastpark,Card
T00183,C017,P050,Hand Soap,PERSONAL CARE,08/24/2025,1,2.20,2.20,Senior,Riverside,Card
T00007,C005,P035,Sugar,Pantry,01/06/2025,4,2.10,8.40,Young Singles,Eastpark,Card
T00254,C008,P034,Cereal,Pantry,11/26/2025,1,3.90,3.90,Budget Shopper,Westgate,Card
T00169,C018,P041,Ice Cream,Frozen,2025-08-19,3,4.60,13.80,Young Singles,Eastpark,Voucher
T00246,C039,P048,Shampoo,Personal Care,11/14/2025,2,4.80,9.60,Budget Shopper,Eastpark,Card
T00296,C041,P020,Cola,Beverages,2025-12-17,1,1.60,1.60,Young Singles,Eastpark,Card
T00056,C045,P042,Frozen Vegetables,Frozen,03/24/2025,1,2.40,2.40,Student,Eastpark,Card
T00127,C020,P028,Cookies,Snacks,06/26/2025,1,2.90,2.90,Budget Shopper,Downtown,Card
T00167,C053,P028,Cookies,Snacks,08/18/2025,1,2.90,2.90,Senior,Hilltop,Cash
T00308,C055,P043,Frozen Fries,Frozen,2025-12-20,2,3.00,6.00,Student,Hilltop,Mobile
T00219,C018,P044,Paper Towels,Household,10/07/2025,3,5.50,16.50,Young Singles,Westgate,Cash
T00055,C041,P020,Cola,Beverages ,2025-03-03,5,1.60,8.00,Young Singles,Westgate,Voucher
T00158,C040,P049,Toothpaste,personal care,2025-07-21,1,2.70,2.70,Premium Shopper,Downtown,Cash
T00088,C016,P024,Tea Bags,Beverages,2025-05-12,5,3.60,18.00,Young Singles,Eastpark,Card
T00116,C014,P018,Ground Beef,Meat,2025-06-16,2,7.20,14.40,Senior,Riverside,Mobile
T00216,C024,P026,Potato Chips,Snacks,2025-09-28,1,2.50,2.50,Student,Downtown,Cash
T00189,C058,P038,Peanut Butter,Pantry,08/08/2025,1,3.50,3.50,Family,Eastpark,Card
T00047,C055,P049,Toothpaste,Personal Care,2025-03-22,2,2.70,5.40,Student,Eastpark,Card
T00224,C008,P013,White Bread,Bakery,2025-10-28,1,1.90,1.90,Budget Shopper,Westgate,Card
T00279,C048,P020,Cola,Beverages,2025-12-01,1,1.60,1.60,Student,Downtown,Voucher
T00241,C024,P020,Cola,BEVERAGES,10/11/2025,2,1.60,3.20,Student,Downtown,Mobile
T00261,C005,P035,Sugar,Pantry ,11/22/2025,2,2.10,4.20,Young Singles,Hilltop,Card
T00258,C038,P007,Avocado,Produce,2025-11-24,4,1.50,6.00,Student,Downtown,Mobile
T00221,C056,P020,Cola,Beverages,10/11/2025,4,1.60,6.40,Premium Shopper,Hilltop,Card
T00008,C009,P005,Onions,Produce,13-01-2025,5,$0.90,$4.50,Senior,Hilltop,Cash
T00127,C020,P039,Jam,Pantry,06/26/2025,4,2.80,11.20,Budget Shopper,Downtown,Card
T00159,C030,P020,Cola,Beverages,2025-07-13,1,1.60,1.60,Family,Eastpark,Mobile
T00115,C045,P047,Trash Bags,Household,2025-06-07,1,4.10,4.10,,Westgate,Card
T00061,C056,P031,Pasta,Pantry ,2025-04-30,1,1.50,1.50,Premium Shopper,Eastpark,Card
T00299,C012,P018,Ground Beef,Meat,2025-12-03,1,7.20,7.20,Young Singles,Riverside,Card
T00228,C057,P026,Potato Chips,Snacks,14-10-2025,1,2.50,2.50,Student,Riverside,Card
T00198,C002,P004,Lettuce,Produce,2025-09-06,3,1.40,4.20,Family,Hilltop,Cash
T00036,C020,P007,Avocado,Produce,2025-02-15,1,1.50,1.50,Budget Shopper,Eastpark,Voucher
T00039,C021,P037,Canned Beans,Pantry,2025-03-24,5,1.10,5.50,Family,Eastpark,Card
T00268,C056,P011,Butter,Dairy,2025-11-27,1,3.80,3.80,Premium Shopper,Hilltop,Cash
